Epoch,Time(s),Loss,F1
00163,0.6479,0.3239,0.1768
00164,0.6485,0.3229,0.1720
00165,0.6490,0.3231,0.1964
00166,0.6497,0.3227,0.1860
00167,0.6508,0.3221,0.1813
00168,0.6510,0.3222,0.1908
00169,0.6505,0.3221,0.2061
00170,0.6498,0.3221,0.1415
00171,0.6494,0.3255,0.2590
00172,0.6487,0.3293,0.1064
00173,0.6480,0.3443,0.1406
00174,0.6474,0.3272,0.2649
00175,0.6470,0.3501,0.0982
00176,0.6463,0.3319,0.1000
00177,0.6460,0.3431,0.1190
00178,0.6457,0.3366,0.1293
00179,0.6454,0.3281,0.1274
00180,0.6464,0.3361,0.1771
00181,0.6470,0.3345,0.1540
00182,0.6479,0.3269,0.1292
00183,0.6491,0.3280,0.1395
00184,0.6497,0.3310,0.1392
00185,0.6492,0.3293,0.1563
00186,0.6485,0.3257,0.1846
00187,0.6478,0.3257,0.1853
00188,0.6475,0.3271,0.2318
00189,0.6469,0.3263,0.1347
00190,0.6465,0.3312,0.3626
00191,0.6461,0.3531,0.0213
00192,0.6455,0.3745,0.1281
00193,0.6452,0.3291,0.3502
00194,0.6446,0.3549,0.2322
00195,0.6438,0.3308,0.0808
00196,0.6434,0.3310,0.0286
00197,0.6441,0.3410,0.0324
00198,0.6448,0.3376,0.0564
00199,0.6453,0.3300,0.1480
00200,0.6463,0.3289,0.1761
00201,0.6463,0.3308,0.1734
00202,0.6460,0.3297,0.1507
00203,0.6469,0.3273,0.1502
00204,0.6467,0.3249,0.1157
00205,0.6462,0.3250,0.1245
00206,0.6459,0.3263,0.1194
00207,0.6460,0.3262,0.1578
00208,0.6464,0.3249,0.1788
00209,0.6473,0.3236,0.1854
00210,0.6483,0.3237,0.2059
00211,0.6496,0.3243,0.2053
00212,0.6519,0.3238,0.1856
00213,0.6524,0.3225,0.1743
00214,0.6529,0.3218,0.1777
00215,0.6536,0.3220,0.1790
00216,0.6537,0.3221,0.1801
00217,0.6535,0.3217,0.1818
00218,0.6532,0.3211,0.1958
00219,0.6527,0.3210,0.2088
00220,0.6521,0.3211,0.2165
00221,0.6516,0.3209,0.2129
00222,0.6514,0.3204,0.2033
00223,0.6508,0.3201,0.1953
00224,0.6502,0.3202,0.1962
00225,0.6495,0.3199,0.2043
00226,0.6492,0.3194,0.2184
